Регион;Код;2017;2018;2019;2020;2021;2022;2023
Российская Федерация;643;1517986.0;1583504.0;1473018.0;1302270.0;1313042.0;1282121.0;1277250.0
Центральный федеральный округ;30;391790.0;425160.0;405052.0;360208.0;345491.0;352792.0;384935.0
Белгородская область;140;13861.0;15431.0;14182.0;11476.0;10750.0;11568.0;13065.0
Брянская область;150;13052.0;13527.0;11924.0;9919.0;9730.0;10132.0;9108.0
Владимирская область;170;14425.0;14860.0;13442.0;10772.0;10834.0;11035.0;10185.0
Воронежская область;200;19779.0;20126.0;18634.0;16095.0;15210.0;15422.0;13910.0
Ивановская область;240;12467.0;12771.0;11583.0;10101.0;9702.0;9370.0;8656.0
Калужская область;290;10262.0;10456.0;8532.0;7477.0;10118.0;10775.0;10220.0
Костромская область;340;7659.0;7923.0;7131.0;6058.0;5789.0;5230.0;4864.0
Курская область;380;10713.0;11743.0;11040.0;8687.0;8904.0;8915.0;8121.0
Липецкая область;420;8334.0;9047.0;8437.0;6797.0;7224.0;6771.0;5982.0
Московская область;460;103044.0;111262.0;109151.0;107153.0;99447.0;97923.0;104539.0
Орловская область;540;6562.0;6838.0;5925.0;4717.0;4272.0;4330.0;4200.0
Рязанская область;610;11469.0;11778.0;10920.0;9421.0;9299.0;9384.0;9225.0
Смоленская область;660;10660.0;10750.0;10107.0;8325.0;8727.0;8992.0;8144.0
Тамбовская область;680;8730.0;9197.0;8128.0;6456.0;6119.0;5792.0;5359.0
Тверская область;280;14243.0;14377.0;13972.0;11781.0;12151.0;11778.0;11360.0
Тульская область;700;13658.0;14127.0;12535.0;10650.0;10651.0;10667.0;9607.0
Ярославская область;780;12753.0;13140.0;12575.0;10843.0;10113.0;10297.0;10061.0
Город Москва столица Российской Федерации город федерального значения;450;100119.0;117807.0;116834.0;103480.0;96451.0;104411.0;138329.0
Северо-Западный федеральный округ;31;218436.0;224421.0;210352.0;189211.0;192900.0;183193.0;176151.0
Республика Карелия;860;8539.0;8396.0;7624.0;6198.0;6587.0;5780.0;5347.0
Республика Коми;870;16116.0;15955.0;13818.0;11467.0;11605.0;11033.0;10208.0
Архангельская область;110;17262.0;17617.0;15927.0;13073.0;13655.0;13138.0;13187.0
Ненецкий автономный округ (Архангельская область);111;875.0;927.0;816.0;653.0;703.0;721.0;715.0
Архангельская область (кроме Ненецкого автономного округа);110;16387.0;16690.0;15111.0;12420.0;12952.0;12417.0;12472.0
Вологодская область;190;11364.0;10907.0;9502.0;7752.0;7663.0;6979.0;6518.0
Вологда;194;4160.0;3742.0;;;;;
Череповец;194;3345.0;3362.0;;;;;
Калининградская область;270;11832.0;12944.0;13178.0;12099.0;13159.0;12858.0;12231.0
Ленинградская область;410;20540.0;21083.0;21650.0;22227.0;22997.0;22527.0;22590.0
Мурманская область;470;18178.0;17976.0;16704.0;13928.0;13693.0;12924.0;11966.0
Новгородская область;490;8644.0;7741.0;7576.0;7238.0;7178.0;6671.0;6057.0
Псковская область;580;8684.0;8645.0;8703.0;7452.0;7177.0;6524.0;6555.0
Город Санкт-Петербург город федерального значения;400;97277.0;103157.0;95670.0;87777.0;89186.0;84759.0;81492.0
Южный федеральный округ (с 29.07.2016);40;127865.0;131637.0;126874.0;114796.0;118367.0;119394.0;118478.0
Республика Адыгея (Адыгея);790;3952.0;3633.0;3685.0;3386.0;3397.0;3522.0;3577.0
Республика Калмыкия;850;3728.0;3733.0;3493.0;2890.0;3043.0;3296.0;2833.0
Республика Крым;350;8190.0;8822.0;9272.0;10228.0;10155.0;10738.0;10395.0
Краснодарский край;300;44526.0;45391.0;44740.0;39225.0;41530.0;40790.0;41581.0
Краснодар;340;13115.0;13678.0;;;;;
Армавир;340;1877.0;1804.0;;;;;
Новороссийск;342;2628.0;2662.0;;;;;
Сочи;342;7213.0;7969.0;;;;;
Астраханская область;120;7490.0;7603.0;7119.0;6480.0;7165.0;7124.0;6508.0
Волгоградская область;180;22288.0;23458.0;21585.0;18187.0;18113.0;18077.0;17842.0
Ростовская область;600;32892.0;33347.0;31366.0;28091.0;27893.0;28172.0;27771.0
Город федерального значения Севастополь;670;4799.0;5650.0;5614.0;6309.0;7071.0;7675.0;7971.0
Северо-Кавказский федеральный округ;38;52731.0;54677.0;52477.0;44676.0;45114.0;44873.0;44750.0
Республика Дагестан;820;11977.0;11614.0;11583.0;9457.0;9689.0;10097.0;10817.0
Республика Ингушетия;260;1846.0;2130.0;1846.0;1953.0;2136.0;2254.0;1986.0
Кабардино-Балкарская Республика;830;4633.0;4903.0;4198.0;3183.0;3255.0;3539.0;3049.0
Карачаево-Черкесская Республика;910;2495.0;2616.0;2826.0;2679.0;2910.0;2779.0;2764.0
Республика Северная Осетия-Алания;900;5128.0;5361.0;4624.0;3626.0;3363.0;3717.0;3254.0
Чеченская Республика;960;4372.0;4658.0;4118.0;3446.0;3917.0;3983.0;4001.0
Ставропольский край;700;22280.0;23395.0;23282.0;20332.0;19844.0;18504.0;18879.0
Приволжский федеральный округ;33;265925.0;274533.0;249858.0;216134.0;222780.0;212885.0;206554.0
Республика Башкортостан;800;38324.0;39985.0;37224.0;32388.0;34228.0;33226.0;33906.0
Республика Марий Эл;880;7430.0;6996.0;7224.0;6392.0;6272.0;6533.0;6129.0
Республика Мордовия;890;6726.0;6974.0;6511.0;5557.0;5750.0;5733.0;5365.0
Республика Татарстан (Татарстан);920;30769.0;32163.0;29219.0;27681.0;29705.0;26065.0;26904.0
Удмуртская Республика;940;13340.0;13576.0;11180.0;9849.0;10734.0;11142.0;10764.0
Чувашская Республика - Чувашия;970;13384.0;13983.0;12298.0;10792.0;10216.0;9912.0;9695.0
Пермский край;570;29283.0;30046.0;27220.0;23438.0;24004.0;22052.0;20607.0
Кировская область;330;17960.0;18916.0;17777.0;15079.0;14987.0;15159.0;14856.0
Нижегородская область;220;24906.0;25542.0;23477.0;20402.0;20490.0;19728.0;18365.0
Оренбургская область;530;14755.0;14308.0;13571.0;11449.0;12214.0;11897.0;10983.0
Пензенская область;560;10928.0;11022.0;9765.0;7556.0;7424.0;7198.0;7003.0
Самарская область;360;25052.0;27120.0;23429.0;20360.0;21545.0;20053.0;19447.0
Саратовская область;630;22561.0;22799.0;21233.0;17203.0;16921.0;16519.0;15573.0
Саратов;634;8449.0;;;;;;
Балаково;634;2009.0;;;;;;
Ульяновская область;730;10507.0;11103.0;9730.0;7988.0;8290.0;7668.0;6957.0
Уральский федеральный округ;34;156019.0;158208.0;144477.0;125881.0;128754.0;119356.0;113676.0
Курганская область;370;9017.0;9485.0;8583.0;7793.0;7895.0;7081.0;6832.0
Свердловская область;650;48292.0;48901.0;44166.0;38484.0;37768.0;34422.0;31830.0
Тюменская область;710;63520.0;63585.0;58091.0;50383.0;52405.0;49513.0;47427.0
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;34940.0;33500.0;30784.0;26568.0;;;
Ямало-Ненецкий автономный округ (Тюменская область);711;14985.0;15020.0;13387.0;11163.0;11293.0;10878.0;10045.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;13595.0;15065.0;13920.0;12652.0;12917.0;12627.0;12183.0
Челябинская область;750;35190.0;36237.0;33637.0;29221.0;30686.0;28340.0;27587.0
Сибирский федеральный округ;35;214375.0;;;;;;
Сибирский федеральный округ (с 03.11.2018);41;;197432.0;175250.0;154151.0;159949.0;152891.0;143507.0
Республика Алтай;840;2295.0;2007.0;2034.0;1852.0;1897.0;1780.0;1702.0
Республика Тыва;930;4449.0;4507.0;3861.0;3744.0;4041.0;4386.0;3841.0
Республика Хакасия;950;8040.0;8277.0;7187.0;6962.0;7406.0;6921.0;6700.0
Алтайский край;100;17657.0;18354.0;17247.0;13705.0;15690.0;14041.0;13616.0
Чита;764;4756.0;5130.0;;;;;
Красноярский край;400;41596.0;43350.0;39632.0;37207.0;39371.0;38525.0;37761.0
Иркутская область;250;27492.0;28129.0;23692.0;19787.0;19260.0;19330.0;17838.0
Кемеровская область - Кузбасс;320;32375.0;34212.0;29830.0;25380.0;26221.0;24401.0;22437.0
Новосибирская область;500;23552.0;25388.0;22049.0;20700.0;21702.0;21308.0;19882.0
Омская область;520;17800.0;18838.0;16789.0;13924.0;14303.0;13074.0;11688.0
Томская область;690;14330.0;14370.0;12929.0;10890.0;10058.0;9125.0;8042.0
Томск;694;10780.0;10824.0;;;;;
Дальневосточный федеральный округ;36;90845.0;;;;;;
Дальневосточный федеральный округ (с 03.11.2018);42;;117436.0;108678.0;97213.0;99687.0;96737.0;89199.0
Республика Бурятия;810;12496.0;13387.0;12292.0;11517.0;12208.0;11578.0;11034.0
Забайкальский край;760;12293.0;12648.0;11546.0;9845.0;9761.0;9754.0;8730.0
Республика Саха (Якутия);980;15090.0;14770.0;13825.0;12737.0;14085.0;13717.0;12766.0
Камчатский край;300;4413.0;4733.0;4268.0;3937.0;3996.0;3611.0;3416.0
Приморский край;500;25949.0;26975.0;25533.0;22694.0;22947.0;21776.0;20017.0
Хабаровский край;800;19153.0;18762.0;17487.0;15301.0;16458.0;15830.0;14999.0
Амурская область;100;10001.0;9849.0;8809.0;8238.0;7695.0;8299.0;6895.0
Магаданская область;440;4036.0;4184.0;3788.0;3182.0;3230.0;3096.0;2816.0
Сахалинская область;640;8030.0;8222.0;7183.0;6225.0;5842.0;5561.0;5396.0
Еврейская автономная область;990;2300.0;1935.0;1900.0;1583.0;1771.0;1695.0;1430.0
Чукотский автономный округ;770;1873.0;1971.0;2047.0;1954.0;1694.0;1820.0;1700.0
Энгельс;634;2195.0;;;;;;
Северск;695;1327.0;1388.0;;;;;
Российская Федерация;643;714546.0;741902.0;682852.0;586914.0;619085.0;577103.0;
Центральный федеральный округ;30;139759.0;147655.0;132641.0;110863.0;110098.0;101748.0;
Белгородская область;140;8719.0;10015.0;8990.0;7485.0;7291.0;6804.0;
Брянская область;150;7642.0;7915.0;6594.0;5708.0;5970.0;5390.0;
Владимирская область;170;5984.0;6296.0;5404.0;3849.0;4540.0;4374.0;
Воронежская область;200;14216.0;14342.0;13387.0;10585.0;10694.0;9783.0;
Ивановская область;240;4246.0;4163.0;4006.0;3367.0;3298.0;3054.0;
Калужская область;290;4987.0;5044.0;4081.0;3771.0;4961.0;5026.0;
Костромская область;340;5645.0;5796.0;5415.0;4523.0;4005.0;3358.0;
Курская область;380;7378.0;8510.0;7476.0;5938.0;5731.0;5285.0;
Липецкая область;420;9403.0;9826.0;9121.0;7293.0;7344.0;6594.0;
Московская область;460;22232.0;24825.0;22478.0;19824.0;18899.0;18230.0;
Орловская область;540;4547.0;4847.0;4252.0;3066.0;2937.0;2880.0;
Рязанская область;610;7518.0;8131.0;6521.0;5594.0;5633.0;5653.0;
Смоленская область;660;5382.0;5452.0;5114.0;4207.0;4341.0;4266.0;
Тамбовская область;680;8009.0;8221.0;7726.0;5805.0;5441.0;4932.0;
Тверская область;280;7223.0;7433.0;6824.0;5953.0;5899.0;5435.0;
Тульская область;700;8561.0;8206.0;7051.0;5982.0;6299.0;6142.0;
Ярославская область;780;6374.0;6306.0;5544.0;4854.0;4785.0;4542.0;
Город Москва столица Российской Федерации город федерального значения;450;1693.0;2327.0;2657.0;3059.0;2030.0;;
Северо-Западный федеральный округ;31;56810.0;59043.0;53385.0;44714.0;46780.0;43206.0;
Республика Карелия;860;3729.0;4002.0;3376.0;2643.0;3144.0;2650.0;
Республика Коми;870;5729.0;5545.0;4501.0;4334.0;4420.0;3969.0;
Архангельская область;110;8271.0;8757.0;7590.0;6040.0;6610.0;6327.0;
Ненецкий автономный округ (Архангельская область);111;367.0;430.0;380.0;317.0;307.0;298.0;
Архангельская область (кроме Ненецкого автономного округа);110;7904.0;8327.0;7210.0;5723.0;6303.0;6029.0;
Вологодская область;190;8268.0;7882.0;6445.0;5247.0;5393.0;4540.0;
Калининградская область;270;4341.0;4705.0;5114.0;4519.0;4956.0;4612.0;
Ленинградская область;410;15132.0;16231.0;14888.0;11379.0;12089.0;12150.0;
Мурманская область;470;1940.0;2007.0;2053.0;1629.0;1396.0;1401.0;
Новгородская область;490;4477.0;4744.0;4376.0;4277.0;4220.0;3548.0;
Псковская область;580;4923.0;5170.0;5042.0;4646.0;4552.0;4009.0;
Южный федеральный округ (с 29.07.2016);40;84565.0;86430.0;81054.0;72876.0;76823.0;73283.0;
Республика Адыгея (Адыгея);790;3765.0;3663.0;3458.0;3270.0;3819.0;3571.0;
Республика Калмыкия;850;4484.0;4568.0;4163.0;3300.0;3534.0;3532.0;
Республика Крым;350;8118.0;8484.0;8836.0;10078.0;9666.0;9789.0;
Краснодарский край;300;31580.0;31251.0;28602.0;24878.0;26961.0;24519.0;
Астраханская область;120;4703.0;4574.0;4452.0;3730.0;4168.0;3956.0;
Волгоградская область;180;10999.0;11941.0;10755.0;8766.0;9548.0;8600.0;
Ростовская область;600;20703.0;21760.0;20637.0;18690.0;18942.0;19139.0;
Город федерального значения Севастополь;670;213.0;189.0;151.0;164.0;185.0;177.0;
Северо-Кавказский федеральный округ;38;51322.0;54799.0;51856.0;41370.0;42566.0;42031.0;
Республика Дагестан;820;17234.0;17668.0;15861.0;12720.0;13046.0;13220.0;
Республика Ингушетия;260;1210.0;1604.0;1357.0;1034.0;946.0;1199.0;
Кабардино-Балкарская Республика;830;2630.0;2892.0;2499.0;1962.0;1941.0;2216.0;
Карачаево-Черкесская Республика;910;3345.0;3687.0;3627.0;3215.0;3422.0;3421.0;
Республика Северная Осетия-Алания;900;2713.0;3151.0;2290.0;1802.0;1606.0;1636.0;
Чеченская Республика;960;6566.0;6447.0;6252.0;4539.0;4914.0;5024.0;
Ставропольский край;700;17624.0;19350.0;19970.0;16098.0;16691.0;15315.0;
Приволжский федеральный округ;33;177198.0;182167.0;169903.0;144500.0;153896.0;140458.0;
Республика Башкортостан;800;38212.0;38943.0;37249.0;31323.0;35333.0;33529.0;
Республика Марий Эл;880;4601.0;4828.0;5119.0;4771.0;4579.0;4281.0;
Республика Мордовия;890;5088.0;5465.0;4971.0;3866.0;4127.0;3827.0;
Республика Татарстан (Татарстан);920;15519.0;15508.0;14075.0;12674.0;13746.0;12233.0;
Удмуртская Республика;940;12960.0;12992.0;10650.0;9176.0;10180.0;9661.0;
Чувашская Республика - Чувашия;970;12389.0;13743.0;11023.0;9085.0;9565.0;8169.0;
Пермский край;570;17484.0;17910.0;15569.0;13587.0;14975.0;12995.0;
Кировская область;330;10107.0;10392.0;9243.0;8188.0;8240.0;7722.0;
Нижегородская область;220;10970.0;11691.0;11825.0;10893.0;10492.0;9112.0;
Оренбургская область;530;15496.0;15437.0;16082.0;13361.0;13952.0;12198.0;
Пензенская область;560;7370.0;7400.0;7389.0;5146.0;5086.0;4941.0;
Самарская область;360;9485.0;10043.0;10313.0;8574.0;9606.0;8379.0;
Саратовская область;630;11900.0;11813.0;11394.0;9564.0;9451.0;9414.0;
Ульяновская область;730;5617.0;6002.0;5001.0;4292.0;4564.0;3997.0;
Уральский федеральный округ;34;51175.0;52658.0;47699.0;44286.0;45655.0;41567.0;
Курганская область;370;8271.0;9376.0;8211.0;7825.0;7987.0;7243.0;
Свердловская область;650;13992.0;14111.0;10741.0;10583.0;10944.0;9671.0;
Тюменская область;710;15025.0;15654.0;15064.0;13110.0;13505.0;12339.0;
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;3701.0;3913.0;3347.0;3127.0;;;
Ямало-Ненецкий автономный округ (Тюменская область);711;2280.0;2325.0;2211.0;1782.0;2092.0;1672.0;
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;9044.0;9416.0;9506.0;8201.0;8200.0;7708.0;
Челябинская область;750;13887.0;13517.0;13683.0;12768.0;13219.0;12314.0;
Сибирский федеральный округ;35;115888.0;;;;;;
Сибирский федеральный округ (с 03.11.2018);41;;102167.0;92374.0;81909.0;90197.0;84487.0;
Республика Алтай;840;5051.0;5257.0;4974.0;4404.0;4626.0;4670.0;
Республика Тыва;930;3203.0;3212.0;2633.0;1982.0;2902.0;3457.0;
Республика Хакасия;950;4746.0;4572.0;3893.0;3849.0;4322.0;4027.0;
Алтайский край;100;19348.0;21365.0;20754.0;17662.0;18781.0;17064.0;
Красноярский край;400;18920.0;19498.0;17433.0;16544.0;19473.0;18671.0;
Иркутская область;250;9740.0;10249.0;8307.0;7865.0;7840.0;7875.0;
Кемеровская область - Кузбасс;320;8582.0;8322.0;6917.0;6089.0;6346.0;5747.0;
Новосибирская область;500;8752.0;10056.0;10353.0;9655.0;10662.0;9552.0;
Омская область;520;12261.0;12544.0;11445.0;9334.0;10507.0;9548.0;
Томская область;690;6866.0;7092.0;5665.0;4525.0;4738.0;3876.0;
Дальневосточный федеральный округ;36;37829.0;;;;;;
Дальневосточный федеральный округ (с 03.11.2018);42;;56983.0;53940.0;46396.0;53070.0;50323.0;
Республика Бурятия;810;11521.0;11601.0;11690.0;10302.0;11302.0;10528.0;
Забайкальский край;760;6898.0;6944.0;6863.0;5670.0;6375.0;5819.0;
Республика Саха (Якутия);980;8659.0;8656.0;7627.0;6165.0;9216.0;8137.0;
Камчатский край;300;1411.0;1530.0;1515.0;1407.0;1488.0;1460.0;
Приморский край;500;11207.0;11593.0;11116.0;9350.0;10408.0;9977.0;
Хабаровский край;800;6496.0;6611.0;6201.0;5181.0;5986.0;5640.0;
Амурская область;100;5674.0;5973.0;5389.0;5145.0;4955.0;5380.0;
Магаданская область;440;315.0;313.0;293.0;207.0;193.0;252.0;
Сахалинская область;640;2639.0;2454.0;2020.0;1951.0;1849.0;1786.0;
Еврейская автономная область;990;1013.0;864.0;779.0;644.0;841.0;886.0;
Чукотский автономный округ;770;415.0;444.0;447.0;374.0;457.0;458.0;
Российская Федерация;643;;;;;;;556509.0
Центральный федеральный округ;30;;;;;;;95388.0
Белгородская область;140;;;;;;;8266.0
Брянская область;150;;;;;;;5094.0
Владимирская область;170;;;;;;;3983.0
Воронежская область;200;;;;;;;8480.0
Ивановская область;240;;;;;;;2749.0
Калужская область;290;;;;;;;4383.0
Костромская область;340;;;;;;;3253.0
Курская область;380;;;;;;;4991.0
Липецкая область;420;;;;;;;5352.0
Московская область;460;;;;;;;18601.0
Орловская область;540;;;;;;;2689.0
Рязанская область;610;;;;;;;5191.0
Смоленская область;660;;;;;;;3975.0
Тамбовская область;680;;;;;;;4305.0
Тверская область;280;;;;;;;4728.0
Тульская область;700;;;;;;;5358.0
Ярославская область;780;;;;;;;3990.0
Северо-Западный федеральный округ;31;;;;;;;41198.0
Республика Карелия;860;;;;;;;2315.0
Республика Коми;870;;;;;;;3779.0
Архангельская область;110;;;;;;;6375.0
Ненецкий автономный округ (Архангельская область);111;;;;;;;265.0
Архангельская область (кроме Ненецкого автономного округа);110;;;;;;;6110.0
Вологодская область;190;;;;;;;4222.0
Калининградская область;270;;;;;;;4608.0
Ленинградская область;410;;;;;;;11573.0
Мурманская область;470;;;;;;;1383.0
Новгородская область;490;;;;;;;3109.0
Псковская область;580;;;;;;;3834.0
Южный федеральный округ (с 29.07.2016);40;;;;;;;72399.0
Республика Адыгея (Адыгея);790;;;;;;;3803.0
Республика Калмыкия;850;;;;;;;3290.0
Республика Крым;350;;;;;;;8640.0
Краснодарский край;300;;;;;;;24845.0
Астраханская область;120;;;;;;;3797.0
Волгоградская область;180;;;;;;;8115.0
Ростовская область;600;;;;;;;19802.0
Город федерального значения Севастополь;670;;;;;;;107.0
Северо-Кавказский федеральный округ;38;;;;;;;44244.0
Республика Дагестан;820;;;;;;;14330.0
Республика Ингушетия;260;;;;;;;1346.0
Кабардино-Балкарская Республика;830;;;;;;;1966.0
Карачаево-Черкесская Республика;910;;;;;;;3514.0
Республика Северная Осетия-Алания;900;;;;;;;1847.0
Чеченская Республика;960;;;;;;;5030.0
Ставропольский край;700;;;;;;;16211.0
Приволжский федеральный округ;33;;;;;;;135261.0
Республика Башкортостан;800;;;;;;;34445.0
Республика Марий Эл;880;;;;;;;4002.0
Республика Мордовия;890;;;;;;;3472.0
Республика Татарстан (Татарстан);920;;;;;;;12158.0
Удмуртская Республика;940;;;;;;;8965.0
Чувашская Республика - Чувашия;970;;;;;;;7351.0
Пермский край;570;;;;;;;12908.0
Кировская область;330;;;;;;;7327.0
Нижегородская область;220;;;;;;;7957.0
Оренбургская область;530;;;;;;;11265.0
Пензенская область;560;;;;;;;4777.0
Самарская область;360;;;;;;;8227.0
Саратовская область;630;;;;;;;8763.0
Ульяновская область;730;;;;;;;3644.0
Уральский федеральный округ;34;;;;;;;38995.0
Курганская область;370;;;;;;;6555.0
Свердловская область;650;;;;;;;9109.0
Тюменская область;710;;;;;;;11542.0
Ямало-Ненецкий автономный округ (Тюменская область);711;;;;;;;1585.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;;;;;;;7346.0
Челябинская область;750;;;;;;;11789.0
Сибирский федеральный округ (с 03.11.2018);41;;;;;;;81493.0
