Регион;Код;2010;2011;2012;2013;2014;2015;2016;2017
Российская Федерация;643;0.0;-1030.0;0.0;0.0;0.0;0.0;0.0;0.0
Центральный федеральный округ;30;103582.0;113495.0;146027.0;142551.0;119382.0;126734.0;85226.0;124902.0
Белгородская область;140;2859.0;4662.0;4059.0;3024.0;586.0;-1514.0;-171.0;-832.0
Брянская область;150;-3142.0;-5264.0;-5920.0;-6282.0;-4902.0;-4103.0;-1821.0;-3865.0
Владимирская область;170;-1798.0;-2722.0;-4415.0;-2480.0;-1841.0;-3120.0;-1900.0;-4304.0
Воронежская область;200;2568.0;2295.0;1503.0;1382.0;3907.0;3213.0;3018.0;-11.0
Ивановская область;240;-787.0;-1061.0;-1112.0;-2155.0;-2317.0;-3607.0;-2283.0;-2666.0
Калужская область;290;-2319.0;-2614.0;-2915.0;-2147.0;-1684.0;-3996.0;-738.0;-1914.0
Костромская область;340;-1441.0;-2551.0;-2239.0;-1833.0;-1061.0;-1656.0;-1129.0;-1875.0
Курская область;380;-1197.0;-1509.0;-1700.0;-590.0;-1087.0;-2501.0;-1929.0;-3058.0
Липецкая область;420;-1707.0;-3908.0;-3443.0;-3272.0;-2081.0;-3275.0;-1621.0;-2640.0
Московская область;460;50106.0;91252.0;88760.0;82416.0;89728.0;66818.0;83332.0;68263.0
Орловская область;540;-1561.0;-776.0;-2183.0;-2519.0;-1793.0;-3435.0;-2220.0;-3165.0
Рязанская область;610;-1608.0;1168.0;491.0;-111.0;-864.0;-1794.0;-198.0;-1252.0
Смоленская область;660;-2870.0;-3248.0;-4493.0;-4002.0;-3759.0;-3227.0;-1392.0;-2900.0
Тамбовская область;680;-1862.0;-5008.0;-5773.0;-5838.0;-4330.0;-3218.0;-2406.0;-3742.0
Тверская область;280;-4086.0;-3729.0;-5713.0;-6870.0;-5390.0;-5531.0;-3089.0;-5325.0
Тульская область;700;-2813.0;-2508.0;-3545.0;-3270.0;-3809.0;-4537.0;-3462.0;-5014.0
Ярославская область;780;253.0;3916.0;3685.0;2734.0;2185.0;2394.0;1079.0;484.0
Город Москва столица Российской Федерации город федерального значения;450;74987.0;45100.0;90980.0;94364.0;57894.0;99823.0;22156.0;98718.0
Северо-Западный федеральный округ;31;7653.0;33110.0;29490.0;41145.0;35771.0;38351.0;38537.0;45072.0
Республика Карелия;860;-1448.0;-1903.0;-2001.0;-1900.0;-1379.0;-1599.0;-1247.0;-1584.0
Республика Коми;870;-8804.0;-11347.0;-11487.0;-11504.0;-9623.0;-9487.0;-7618.0;-8977.0
Архангельская область;110;-8202.0;-10058.0;-10617.0;-10107.0;-8469.0;-9198.0;-7638.0;-8410.0
Ненецкий автономный округ (Архангельская область);111;-152.0;46.0;-31.0;-104.0;-160.0;-114.0;-393.0;-279.0
Архангельская область (кроме Ненецкого автономного округа);110;-8796.0;-8796.0;-10003.0;-10003.0;-8309.0;-9084.0;-7245.0;-8131.0
Вологодская область;190;-499.0;-1346.0;-2044.0;-2003.0;-2135.0;-2398.0;-2373.0;-3432.0
Калининградская область;270;607.0;1365.0;3942.0;3502.0;2829.0;2464.0;3670.0;4635.0
Ленинградская область;410;5437.0;19380.0;12997.0;13949.0;16959.0;16310.0;17536.0;23463.0
Мурманская область;470;-8232.0;-8233.0;-9146.0;-11078.0;-6696.0;-6455.0;-5149.0;-4383.0
Новгородская область;490;-1486.0;-277.0;-1169.0;-1339.0;-1434.0;-1374.0;-1240.0;-1842.0
Псковская область;580;-2530.0;-530.0;-983.0;-1353.0;-1776.0;-1091.0;-1162.0;-1375.0
Город Санкт-Петербург город федерального значения;400;32810.0;46059.0;49998.0;62978.0;47495.0;51179.0;43758.0;46977.0
Южный федеральный округ (по 2009 год);32;28720.0;28720.0;16638.0;35841.0;35841.0;35841.0;35841.0;35841.0
Южный федеральный округ (с 2010 года);37;25044.0;25044.0;35841.0;35841.0;18234.0;20117.0;20117.0;20117.0
Южный федеральный округ (с 29.07.2016);40;30450.0;30450.0;30450.0;30450.0;30450.0;36989.0;36989.0;17373.0
Республика Адыгея (Адыгея);790;175.0;1630.0;593.0;616.0;1702.0;1495.0;1148.0;177.0
Республика Калмыкия;850;-2286.0;-3730.0;-4175.0;-3605.0;-2641.0;-2837.0;-1690.0;-2630.0
Республика Крым;350;45.0;45.0;45.0;45.0;-1044.0;-1044.0;1131.0;1136.0
Краснодарский край;300;21116.0;46180.0;33226.0;58357.0;32662.0;41668.0;42006.0;28573.0
Астраханская область;120;-1816.0;-3040.0;-2580.0;-2762.0;-2220.0;-3293.0;-3688.0;-3814.0
Волгоградская область;180;-5148.0;-8304.0;-10085.0;-11431.0;-9407.0;-9823.0;-7438.0;-9022.0
Ростовская область;600;-1331.0;-4016.0;-341.0;-5334.0;-1862.0;-7093.0;-2168.0;-2989.0
Город федерального значения Севастополь;670;8382.0;8382.0;8382.0;8382.0;9950.0;9950.0;7688.0;5942.0
Северо-Кавказский федеральный округ;38;-41717.0;-41717.0;-48201.0;-46878.0;-28027.0;-31549.0;-25411.0;-29058.0
Республика Дагестан;820;-10248.0;-21994.0;-24279.0;-21900.0;-14679.0;-14190.0;-11124.0;-12509.0
Республика Ингушетия;260;1691.0;4992.0;3821.0;2791.0;2451.0;1710.0;1409.0;1362.0
Кабардино-Балкарская Республика;830;-3514.0;-6065.0;-6761.0;-6987.0;-4259.0;-4266.0;-2984.0;-2931.0
Карачаево-Черкесская Республика;910;-2508.0;-4579.0;-4897.0;-4378.0;-2786.0;-2682.0;-2554.0;-1177.0
Республика Северная Осетия-Алания;900;-4196.0;-7475.0;-7684.0;-6725.0;-3342.0;-4778.0;-3565.0;-4303.0
Чеченская Республика;960;-723.0;-3492.0;-4799.0;-5018.0;-2663.0;-1695.0;-2795.0;-3417.0
Ставропольский край;700;128.0;-3104.0;-3602.0;-4661.0;-2749.0;-5648.0;-3798.0;-6083.0
Приволжский федеральный округ;33;-37669.0;-60991.0;-63522.0;-64901.0;-50458.0;-60813.0;-46774.0;-62095.0
Республика Башкортостан;800;-3083.0;-12720.0;-11762.0;-9743.0;-8334.0;-8735.0;-6745.0;-7843.0
Республика Марий Эл;880;-1962.0;-2836.0;-2986.0;-2719.0;-2592.0;-2533.0;-1837.0;-2102.0
Республика Мордовия;890;-2780.0;-4190.0;-4681.0;-4777.0;-3731.0;-4682.0;-3201.0;-4397.0
Республика Татарстан (Татарстан);920;3045.0;3429.0;2853.0;2666.0;4853.0;1564.0;3502.0;1099.0
Удмуртская Республика;940;-3747.0;-4890.0;-5221.0;-3990.0;-3188.0;-3769.0;-2993.0;-3357.0
Чувашская Республика - Чувашия;970;-1757.0;-4282.0;-5161.0;-5591.0;-3800.0;-4336.0;-2530.0;-4354.0
Пермский край;570;-4345.0;-5135.0;-4834.0;-4447.0;-3616.0;-4548.0;-4300.0;-5480.0
Кировская область;330;-4229.0;-6812.0;-6603.0;-5673.0;-4799.0;-3819.0;-2895.0;-2902.0
Нижегородская область;220;-824.0;2890.0;3193.0;-54.0;-451.0;-1550.0;-1829.0;-2441.0
Оренбургская область;530;-7612.0;-12428.0;-12385.0;-12446.0;-10995.0;-9683.0;-8195.0;-10437.0
Пензенская область;560;-2867.0;-3701.0;-5101.0;-5307.0;-3478.0;-4298.0;-3142.0;-3735.0
Самарская область;360;81.0;966.0;-488.0;-316.0;-823.0;-3219.0;-3808.0;-5357.0
Саратовская область;630;-3301.0;-6054.0;-3884.0;-6579.0;-4368.0;-7169.0;-5609.0;-7810.0
Ульяновская область;730;-4288.0;-5228.0;-6462.0;-5925.0;-5136.0;-4036.0;-3192.0;-2979.0
Уральский федеральный округ;34;-8410.0;1893.0;-1687.0;-16361.0;-13432.0;-20450.0;-15879.0;-20013.0
Курганская область;370;-5200.0;-11216.0;-10017.0;-8012.0;-6520.0;-6301.0;-6187.0;-6035.0
Свердловская область;650;1310.0;5719.0;3966.0;927.0;2093.0;-3843.0;-5490.0;-3366.0
Тюменская область;710;-3345.0;6773.0;4634.0;-9513.0;-10034.0;-8030.0;154.0;-3266.0
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;-1939.0;1837.0;-984.0;-9797.0;-8449.0;-9128.0;-5147.0;-9454.0
Ямало-Ненецкий автономный округ (Тюменская область);711;-6008.0;-2621.0;-4517.0;-10645.0;-9214.0;-8132.0;-4680.0;-4288.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;9862.0;9862.0;10929.0;10929.0;7629.0;9230.0;9981.0;10476.0
Челябинская область;750;-1175.0;617.0;-270.0;237.0;1029.0;-2276.0;-4356.0;-7346.0
Сибирский федеральный округ;35;-26057.0;-43160.0;-42696.0;-52092.0;-45795.0;-48480.0;-47420.0;-51815.0
Республика Алтай;840;-8.0;-488.0;-530.0;-929.0;-402.0;-403.0;-33.0;-218.0
Республика Тыва;930;-1809.0;-3909.0;-3718.0;-3416.0;-2748.0;-2204.0;-1559.0;-976.0
Республика Хакасия;950;-706.0;-1847.0;-1182.0;-1095.0;-472.0;-478.0;71.0;294.0
Алтайский край;100;-6598.0;-12256.0;-11660.0;-11850.0;-7692.0;-8286.0;-7952.0;-9299.0
Красноярский край;400;-3201.0;1404.0;-1460.0;-4726.0;-4268.0;-3866.0;-2806.0;-4465.0
Иркутская область;250;-6094.0;-9932.0;-9719.0;-11123.0;-9160.0;-8102.0;-7465.0;-5987.0
Кемеровская область - Кузбасс;320;-3344.0;-8034.0;-8136.0;-10284.0;-11437.0;-9792.0;-9391.0;-9536.0
Новосибирская область;500;7025.0;8758.0;11950.0;11169.0;5830.0;3705.0;2618.0;1184.0
Омская область;520;-3777.0;-6144.0;-6786.0;-7579.0;-6150.0;-8021.0;-10192.0;-11021.0
Томская область;690;1494.0;4133.0;2061.0;1320.0;451.0;-468.0;-184.0;-1040.0
Дальневосточный федеральный округ;36;-30439.0;-32380.0;-36049.0;-39305.0;-35675.0;-32816.0;-25268.0;-24366.0
Республика Бурятия;810;-3444.0;-4763.0;-4793.0;-4022.0;-2079.0;-2675.0;-3706.0;-3137.0
Забайкальский край;760;-10082.0;-10082.0;-8723.0;-9557.0;-7668.0;-7890.0;-6821.0;-7614.0
Республика Саха (Якутия);980;-7607.0;-10493.0;-9285.0;-9619.0;-6992.0;-5802.0;-4810.0;-5131.0
Камчатский край;300;-3647.0;-4019.0;-3967.0;-3475.0;-3253.0;-2729.0;-2628.0;-2633.0
Приморский край;500;-1934.0;-5404.0;-6170.0;-8811.0;-6178.0;-5197.0;-4452.0;-4946.0
Хабаровский край;800;-7486.0;-5870.0;-4254.0;-2638.0;-5859.0;-6841.0;-4453.0;-4153.0
Амурская область;100;-2971.0;-6246.0;-4738.0;-6135.0;-4983.0;-4172.0;-3380.0;-3252.0
Магаданская область;440;-1991.0;-2214.0;-2452.0;-2378.0;-2687.0;-2647.0;-1758.0;-1594.0
Сахалинская область;640;-3255.0;-2482.0;-2740.0;-3441.0;-3376.0;-2633.0;-1518.0;-42.0
Еврейская автономная область;990;-651.0;-1735.0;-1586.0;-2196.0;-1933.0;-2088.0;-1675.0;-1953.0
Чукотский автономный округ;770;-897.0;275.0;-350.0;-612.0;-414.0;-707.0;-594.0;-662.0
Крымский федеральный округ;39;8906.0;8906.0;8906.0;8906.0;8906.0;8906.0;8906.0;8906.0
