Регион;Код;Городская динамика;Сельская динамика;Доля города в миграции;Тип трансформации
Алтайский край;100;4062.0;2055.0;66.40510053948013;Общий рост
Амурская область;100;1189.0;-625.0;210.8156028368794;Урбанизация
Армавир;340;-334.0;0.0;100.0;Общий упадок
Архангельская область;110;5494.0;1746.0;75.8839779005525;Общий рост
Архангельская область (кроме Ненецкого автономного округа);110;4816.0;1432.0;77.08066581306018;Общий рост
Астраханская область;120;-1461.0;2347.0;-164.89841986455983;Субурбанизация
Балаково;634;0.0;0.0;;Общий упадок
Белгородская область;140;-1390.0;-577.0;70.66598881545501;Общий упадок
Брянская область;150;1036.0;969.0;51.67082294264339;Общий рост
Владимирская область;170;-482.0;1375.0;-53.97536394176932;Субурбанизация
Волгоградская область;180;2831.0;2215.0;56.10384462940944;Общий рост
Вологда;194;395.0;0.0;100.0;Урбанизация
Вологодская область;190;1317.0;1037.0;55.94732370433305;Общий рост
Воронежская область;200;-3018.0;5152.0;-141.42455482661668;Субурбанизация
Город Москва столица Российской Федерации город федерального значения;450;-49218.0;8849.0;121.92028536748496;Субурбанизация
Город Санкт-Петербург город федерального значения;400;-36937.0;0.0;100.0;Общий упадок
Город федерального значения Севастополь;670;-27.0;-22.0;55.10204081632652;Общий упадок
Дальневосточный федеральный округ;36;0.0;0.0;;Общий упадок
Дальневосточный федеральный округ (с 03.11.2018);42;13959.0;9037.0;60.701861193251005;Общий рост
Еврейская автономная область;990;647.0;412.0;61.095372993389994;Общий рост
Забайкальский край;760;2263.0;664.0;77.31465664502905;Общий рост
Ивановская область;240;723.0;686.0;51.31298793470547;Общий рост
Иркутская область;250;1538.0;-1847.0;-497.7346278317152;Урбанизация
Кабардино-Балкарская Республика;830;1276.0;1320.0;49.152542372881356;Общий рост
Калининградская область;270;-1471.0;970.0;293.61277445109783;Субурбанизация
Калужская область;290;1873.0;1173.0;61.49047931713723;Общий рост
Камчатский край;300;2913.0;423.0;87.32014388489209;Общий рост
Карачаево-Черкесская Республика;910;519.0;59.0;89.79238754325259;Общий рост
Кемеровская область - Кузбасс;320;755.0;3255.0;18.82793017456359;Общий рост
Кировская область;330;782.0;2202.0;26.20643431635389;Общий рост
Костромская область;340;970.0;-595.0;258.66666666666663;Урбанизация
Краснодар;340;-1276.0;0.0;100.0;Общий упадок
Краснодарский край;300;-7559.0;3588.0;190.35507428859228;Субурбанизация
Красноярский край;400;7583.0;1636.0;82.25404056839136;Общий рост
Курганская область;370;3730.0;241.0;93.93099974817426;Общий рост
Курская область;380;1216.0;1558.0;43.83561643835616;Общий рост
Ленинградская область;410;8452.0;-10502.0;-412.2926829268293;Урбанизация
Липецкая область;420;-2239.0;2806.0;-394.8853615520282;Субурбанизация
Магаданская область;440;1037.0;372.0;73.59829666430092;Общий рост
Московская область;460;-25045.0;8185.0;148.54685646500593;Субурбанизация
Мурманская область;470;5426.0;-320.0;106.26713670191931;Урбанизация
Ненецкий автономный округ (Архангельская область);111;678.0;314.0;68.34677419354838;Общий рост
Нижегородская область;220;4390.0;-1465.0;150.0854700854701;Урбанизация
Новгородская область;490;1135.0;400.0;73.9413680781759;Общий рост
Новороссийск;342;-584.0;0.0;100.0;Общий упадок
Новосибирская область;500;-828.0;930.0;-811.7647058823529;Субурбанизация
Омская область;520;4969.0;675.0;88.04039688164423;Общий рост
Оренбургская область;530;2248.0;1720.0;56.653225806451616;Общий рост
Орловская область;540;224.0;1287.0;14.824619457313037;Общий рост
Пензенская область;560;1302.0;1099.0;54.22740524781341;Общий рост
Пермский край;570;3412.0;-290.0;109.28891736066623;Урбанизация
Приволжский федеральный округ;33;26563.0;18794.0;58.56427894261085;Общий рост
Приморский край;500;569.0;2938.0;16.224693470202453;Общий рост
Псковская область;580;-676.0;349.0;206.72782874617738;Субурбанизация
Республика Адыгея (Адыгея);790;1055.0;2448.0;30.11704253497002;Общий рост
Республика Алтай;840;63.0;-143.0;-78.75;Урбанизация
Республика Башкортостан;800;8215.0;-2829.0;152.52506498329;Урбанизация
Республика Бурятия;810;-274.0;1900.0;-16.851168511685117;Субурбанизация
Республика Дагестан;820;1385.0;5717.0;19.501548859476202;Общий рост
Республика Ингушетия;260;198.0;85.0;69.96466431095406;Общий рост
Республика Калмыкия;850;2032.0;3001.0;40.373534671170276;Общий рост
Республика Карелия;860;1260.0;674.0;65.14994829369184;Общий рост
Республика Коми;870;5620.0;1242.0;81.90032060623726;Общий рост
Республика Крым;350;327.0;3309.0;8.993399339933994;Общий рост
Республика Марий Эл;880;744.0;949.0;43.94565859421146;Общий рост
Республика Мордовия;890;1759.0;2357.0;42.73566569484937;Общий рост
Республика Саха (Якутия);980;4481.0;-660.0;117.27296519235801;Урбанизация
Республика Северная Осетия-Алания;900;1142.0;310.0;78.65013774104683;Общий рост
Республика Татарстан (Татарстан);920;-5244.0;8044.0;-187.28571428571428;Субурбанизация
Республика Тыва;930;220.0;-1674.0;-15.130674002751032;Урбанизация
Республика Хакасия;950;-936.0;370.0;165.37102473498234;Субурбанизация
Российская Федерация;643;-2403.0;96080.0;-2.5651974337350683;Субурбанизация
Ростовская область;600;10587.0;4062.0;72.27114478804015;Общий рост
Рязанская область;610;-1056.0;2524.0;-71.93460490463215;Субурбанизация
Самарская область;360;5529.0;-992.0;121.8646682830064;Урбанизация
Саратов;634;0.0;0.0;;Общий упадок
Саратовская область;630;3145.0;1330.0;70.27932960893854;Общий рост
Сахалинская область;640;-119.0;-288.0;29.238329238329236;Общий упадок
Свердловская область;650;-3657.0;5140.0;-246.59474039109912;Субурбанизация
Северо-Западный федеральный округ;31;-10380.0;-4353.0;70.45408267155365;Общий упадок
Северо-Кавказский федеральный округ;38;11133.0;7821.0;58.7369420702754;Общий рост
Северск;695;47.0;0.0;100.0;Урбанизация
Сибирский федеральный округ;35;0.0;0.0;;Общий упадок
Сибирский федеральный округ (с 03.11.2018);41;12781.0;11644.0;52.32753326509724;Общий рост
Смоленская область;660;2037.0;157.0;92.84412032816773;Общий рост
Сочи;342;2091.0;0.0;100.0;Урбанизация
Ставропольский край;700;8420.0;-391.0;104.86984680533067;Урбанизация
Тамбовская область;680;-200.0;2326.0;-9.407337723424272;Субурбанизация
Тверская область;280;1789.0;2128.0;45.67270870564207;Общий рост
Томск;694;-387.0;0.0;100.0;Общий упадок
Томская область;690;-2640.0;905.0;152.1613832853026;Субурбанизация
Тульская область;700;2056.0;2670.0;43.504020313161234;Общий рост
Тюменская область;710;6976.0;4347.0;61.60911419235185;Общий рост
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;-11375.0;3945.0;153.09555854643338;Субурбанизация
Удмуртская Республика;940;232.0;2344.0;9.006211180124224;Общий рост
Ульяновская область;730;-238.0;943.0;-33.75886524822695;Субурбанизация
Уральский федеральный округ;34;6021.0;15012.0;28.626444159178433;Общий рост
Хабаровский край;800;923.0;1787.0;34.05904059040591;Общий рост
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;9501.0;-614.0;106.90896815573309;Урбанизация
Центральный федеральный округ;30;-72439.0;24406.0;150.81090083900654;Субурбанизация
Челябинская область;750;-1028.0;5284.0;-24.154135338345863;Субурбанизация
Череповец;194;-128.0;0.0;100.0;Общий упадок
Чеченская Республика;960;-1807.0;721.0;166.390423572744;Субурбанизация
Чита;764;-501.0;0.0;100.0;Общий упадок
Чувашская Республика - Чувашия;970;287.0;3382.0;7.822294903243391;Общий рост
Чукотский автономный округ;770;499.0;367.0;57.621247113163975;Общий рост
Энгельс;634;0.0;0.0;;Общий упадок
Южный федеральный округ (с 29.07.2016);40;7785.0;20948.0;27.0942818362162;Общий рост
Ямало-Ненецкий автономный округ (Тюменская область);711;2088.0;436.0;82.7258320126783;Общий рост
Ярославская область;780;-1715.0;2235.0;-329.80769230769226;Субурбанизация
